time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
132707011	541.8620	327.7150	220.7930	93.0067	220.7930	93.0067	708	462
132719003	541.8620	327.7150	220.7930	93.0067	220.7930	93.0067	711	463
132731016	542.3470	323.2520	221.5205	87.5623	221.5205	87.5623	713	465
132743002	542.3470	323.2520	221.5205	87.5623	221.5205	87.5623	716	466
132755007	542.3470	323.2520	221.5205	87.5623	221.5205	87.5623	719	467
132767000	542.3470	323.2520	221.5205	87.5623	221.5205	87.5623	721	468
132779012	542.3470	323.2520	221.5205	87.5623	221.5205	87.5623	724	469
132791002	540.5730	322.2650	218.8595	85.2711	218.8595	85.2711	727	470
132803012	540.5730	322.2650	218.8595	85.2711	218.8595	85.2711	729	471
132815005	540.5730	322.2650	218.8595	85.2711	218.8595	85.2711	732	472
132827017	540.5730	322.2650	218.8595	85.2711	218.8595	85.2711	735	473
132839010	540.5730	322.2650	218.8595	85.2711	218.8595	85.2711	737	474
132851009	541.6850	315.8030	220.5275	77.9210	220.5275	77.9210	740	475
132863001	541.6850	315.8030	220.5275	77.9210	220.5275	77.9210	742	476
132875013	541.6850	315.8030	220.5275	77.9210	220.5275	77.9210	745	477
132887007	541.6850	315.8030	220.5275	77.9210	220.5275	77.9210	748	478
132899012	541.6850	315.8030	220.5275	77.9210	220.5275	77.9210	750	479
132911014	541.7750	313.6430	220.6625	74.4325	220.6625	74.4325	753	480
132923000	541.7750	313.6430	220.6625	74.4325	220.6625	74.4325	756	480
132935012	541.7750	313.6430	220.6625	74.4325	220.6625	74.4325	758	481
132947017	541.7750	313.6430	220.6625	74.4325	220.6625	74.4325	761	482
132959010	541.7750	313.6430	220.6625	74.4325	220.6625	74.4325	764	483
132971001	541.5950	310.7610	220.3925	69.9283	220.3925	69.9283	766	484
132983010	541.5950	310.7610	220.3925	69.9283	220.3925	69.9283	769	485
132995003	541.5950	310.7610	220.3925	69.9283	220.3925	69.9283	772	486
133007015	541.5950	310.7610	220.3925	69.9283	220.3925	69.9283	774	487
133019008	541.5950	310.7610	220.3925	69.9283	220.3925	69.9283	777	487
133031014	541.7650	309.3700	220.6475	66.9957	220.6475	66.9957	779	488
133043006	541.7650	309.3700	220.6475	66.9957	220.6475	66.9957	782	489
133055013	541.7650	309.3700	220.6475	66.9957	220.6475	66.9957	785	490
133067006	541.7650	309.3700	220.6475	66.9957	220.6475	66.9957	787	491
133079014	541.8210	305.7050	220.7315	61.9564	220.7315	61.9564	790	491
133091003	541.8210	305.7050	220.7315	61.9564	220.7315	61.9564	793	492
133103008	541.8210	305.7050	220.7315	61.9564	220.7315	61.9564	795	493
133115001	541.8210	305.7050	220.7315	61.9564	220.7315	61.9564	798	494
133127006	541.8210	305.7050	220.7315	61.9564	220.7315	61.9564	801	494
133139000	541.4640	303.9930	220.1960	58.3679	220.1960	58.3679	803	495
133151012	541.4640	303.9930	220.1960	58.3679	220.1960	58.3679	806	496
133163005	541.4640	303.9930	220.1960	58.3679	220.1960	58.3679	809	496
133175011	541.4640	303.9930	220.1960	58.3679	220.1960	58.3679	811	497
133187003	541.4640	303.9930	220.1960	58.3679	220.1960	58.3679	814	498
133199011	541.2870	300.4580	219.9305	53.0981	219.9305	53.0981	817	499
133211002	541.2870	300.4580	219.9305	53.0981	219.9305	53.0981	819	499
133223007	541.2870	300.4580	219.9305	53.0981	219.9305	53.0981	822	500
133235000	541.2870	300.4580	219.9305	53.0981	219.9305	53.0981	824	500
133247005	541.2870	300.4580	219.9305	53.0981	219.9305	53.0981	827	501
133259016	541.3890	298.6980	220.0835	49.3097	220.0835	49.3097	830	502
133271001	541.3890	298.6980	220.0835	49.3097	220.0835	49.3097	832	502
133283006	541.3890	298.6980	220.0835	49.3097	220.0835	49.3097	835	503
133295017	541.3890	298.6980	220.0835	49.3097	220.0835	49.3097	838	503
133307010	541.3890	298.6980	220.0835	49.3097	220.0835	49.3097	840	504
133319007	541.5820	296.8560	220.3730	45.5589	220.3730	45.5589	843	505
133331000	541.5820	296.8560	220.3730	45.5589	220.3730	45.5589	846	505
133343006	541.5820	296.8560	220.3730	45.5589	220.3730	45.5589	848	506
133355018	541.5820	296.8560	220.3730	45.5589	220.3730	45.5589	851	506
133367288	542.0810	294.4910	221.1215	41.2091	220.3730	45.5589	853	507
133379012	542.0810	294.4910	221.1215	41.2091	221.1215	41.2091	856	507
133391000	542.0810	294.4910	221.1215	41.2091	221.1215	41.2091	859	508
133403005	542.0810	294.4910	221.1215	41.2091	221.1215	41.2091	861	508
133415015	542.0810	294.4910	221.1215	41.2091	221.1215	41.2091	864	509
133427009	541.9120	293.7810	220.8680	38.3316	220.8680	38.3316	867	509
133439015	541.9120	293.7810	220.8680	38.3316	220.8680	38.3316	869	510
133451008	541.9120	293.7810	220.8680	38.3316	220.8680	38.3316	872	510
133463013	541.9120	293.7810	220.8680	38.3316	220.8680	38.3316	875	511
133475006	541.9120	293.7810	220.8680	38.3316	220.8680	38.3316	877	511
133487000	541.6670	292.0800	220.5005	34.3598	220.5005	34.3598	880	512
133499006	541.6670	292.0800	220.5005	34.3598	220.5005	34.3598	883	512
133511016	541.6670	292.0800	220.5005	34.3598	220.5005	34.3598	885	512
133523002	541.6670	292.0800	220.5005	34.3598	220.5005	34.3598	888	513
133535007	541.6670	292.0800	220.5005	34.3598	220.5005	34.3598	891	513
133547001	540.7200	291.4950	219.0800	31.3761	219.0800	31.3761	893	514
133559012	540.7200	291.4950	219.0800	31.3761	219.0800	31.3761	896	514
133571017	540.7200	291.4950	219.0800	31.3761	219.0800	31.3761	899	514
133583010	540.7200	291.4950	219.0800	31.3761	219.0800	31.3761	901	515
133595376	541.3360	288.4800	220.0040	26.4286	219.0800	31.3761	904	515
133607008	541.3360	288.4800	220.0040	26.4286	220.0040	26.4286	906	515
133619013	541.3360	288.4800	220.0040	26.4286	220.0040	26.4286	909	516
133631005	541.3360	288.4800	220.0040	26.4286	220.0040	26.4286	912	516
133643011	541.3360	288.4800	220.0040	26.4286	220.0040	26.4286	914	516
133655001	540.1530	289.0490	218.2295	24.5623	218.2295	24.5623	917	517
133667009	540.1530	289.0490	218.2295	24.5623	218.2295	24.5623	920	517
133679002	540.1530	289.0490	218.2295	24.5623	218.2295	24.5623	922	517
133691007	540.1530	289.0490	218.2295	24.5623	218.2295	24.5623	925	518
133703000	540.1530	289.0490	218.2295	24.5623	218.2295	24.5623	927	518
133715007	538.1250	287.9070	215.1875	20.9407	215.1875	20.9407	930	518
133727017	538.1250	287.9070	215.1875	20.9407	215.1875	20.9407	933	518
133739010	538.1250	287.9070	215.1875	20.9407	215.1875	20.9407	935	519
133751015	538.1250	287.9070	215.1875	20.9407	215.1875	20.9407	938	519
133763008	538.1250	287.9070	215.1875	20.9407	215.1875	20.9407	940	519
133775011	540.7760	284.9740	219.1640	15.5887	219.1640	15.5887	943	519
133787017	540.7760	284.9740	219.1640	15.5887	219.1640	15.5887	946	520
133799009	540.7760	284.9740	219.1640	15.5887	219.1640	15.5887	948	520
133811003	540.7760	284.9740	219.1640	15.5887	219.1640	15.5887	951	520
133823009	540.7760	284.9740	219.1640	15.5887	219.1640	15.5887	953	520
133835008	540.6160	283.7830	218.9240	11.7709	218.9240	11.7709	956	520
133847016	540.6160	283.7830	218.9240	11.7709	218.9240	11.7709	959	520
133859009	540.6160	283.7830	218.9240	11.7709	218.9240	11.7709	961	521
133871013	540.6160	283.7830	218.9240	11.7709	218.9240	11.7709	964	521
133883119	539.9300	283.2420	217.8950	8.9068	218.9240	11.7709	966	521
133895007	539.9300	283.2420	217.8950	8.9068	217.8950	8.9068	969	521
133907010	539.9300	283.2420	217.8950	8.9068	217.8950	8.9068	972	521
133919013	539.9300	283.2420	217.8950	8.9068	217.8950	8.9068	974	521
133931017	539.9300	283.2420	217.8950	8.9068	217.8950	8.9068	977	521
133943377	538.1330	283.8080	215.1995	6.6615	217.8950	8.9068	980	521
133955004	538.1330	283.8080	215.1995	6.6615	215.1995	6.6615	982	522
133967010	538.1330	283.8080	215.1995	6.6615	215.1995	6.6615	985	522
133979013	538.1330	283.8080	215.1995	6.6615	215.1995	6.6615	987	522
133991016	538.1330	283.8080	215.1995	6.6615	215.1995	6.6615	990	522
134003001	538.1330	283.8080	215.1995	6.6615	215.1995	6.6615	993	522
134015004	536.2460	283.5440	212.3690	3.3107	212.3690	3.3107	995	522
134027009	536.2460	283.5440	212.3690	3.3107	212.3690	3.3107	998	522
134039012	536.2460	283.5440	212.3690	3.3107	212.3690	3.3107	1000	522
134051016	536.2460	283.5440	212.3690	3.3107	212.3690	3.3107	1003	522
134063000	536.2460	283.5440	212.3690	3.3107	212.3690	3.3107	1005	522
134075010	533.2180	283.9100	207.8270	0.8983	207.8270	0.8983	1008	522
134087017	533.2180	283.9100	207.8270	0.8983	207.8270	0.8983	1010	522
134099002	533.2180	283.9100	207.8270	0.8983	207.8270	0.8983	1013	522
134111006	533.2180	283.9100	207.8270	0.8983	207.8270	0.8983	1015	522
134123558	531.6530	283.5160	205.4795	-1.8543	207.8270	0.8983	1018	522
134136013	531.6530	283.5160	205.4795	-1.8543	205.4795	-1.8543	1021	522
134148011	531.6530	283.5160	205.4795	-1.8543	205.4795	-1.8543	1023	522
134160003	531.6530	283.5160	205.4795	-1.8543	205.4795	-1.8543	1025	522
134172000	531.6530	283.5160	205.4795	-1.8543	205.4795	-1.8543	1028	522
134184002	530.4700	282.4300	203.7050	-5.4922	203.7050	-5.4922	1030	522
134196014	530.4700	282.4300	203.7050	-5.4922	203.7050	-5.4922	1033	522
134208007	530.4700	282.4300	203.7050	-5.4922	203.7050	-5.4922	1035	522
134220005	530.4700	282.4300	203.7050	-5.4922	203.7050	-5.4922	1038	522
134232278	530.1130	282.3370	203.1695	-7.9785	203.7050	-5.4922	1040	522
134244007	530.1130	282.3370	203.1695	-7.9785	203.1695	-7.9785	1043	522
134256013	530.1130	282.3370	203.1695	-7.9785	203.1695	-7.9785	1045	522
